round_id,source,timestamp,multiplier,color,band,points,session_id
125,aviator,2026-07-24T13:42:05.062+00:00,1.21,"rgb(52, 180, 255)",floor,108.25,
126,aviator,2026-07-24T13:42:24.568+00:00,1.82,"rgb(52, 180, 255)",low,125.918,1
127,aviator,2026-07-24T13:43:05.401+00:00,12.64,"rgb(192, 23, 180)",ignition,209.798,1
128,aviator,2026-07-24T13:43:22.702+00:00,1.55,"rgb(52, 180, 255)",low,118.968,1
129,aviator,2026-07-24T13:43:48.718+00:00,3.68,"rgb(145, 62, 248)",mid,156.391,1
130,aviator,2026-07-24T13:44:13.105+00:00,2.31,"rgb(145, 62, 248)",base,136.237,1
131,aviator,2026-07-24T13:44:37.378+00:00,2.69,"rgb(145, 62, 248)",base,142.828,1
132,aviator,2026-07-24T13:45:12.541+00:00,6.86,"rgb(145, 62, 248)",high,183.346,1
133,aviator,2026-07-24T13:45:51.647+00:00,8.88,"rgb(145, 62, 248)",high,194.517,1
134,aviator,2026-07-24T13:46:03.982+00:00,1.01,"rgb(52, 180, 255)",dust,100.431,1
135,aviator,2026-07-24T13:46:23.186+00:00,1.64,"rgb(52, 180, 255)",low,121.411,1
137,aviator,2026-07-24T13:46:39.501+00:00,1.47,"rgb(52, 180, 255)",floor,116.674,1
138,aviator,2026-07-24T13:46:51.585+00:00,1.0,"rgb(52, 180, 255)",dust,100.0,1
139,aviator,2026-07-24T13:47:16.084+00:00,2.92,"rgb(145, 62, 248)",base,146.379,1
140,aviator,2026-07-24T13:47:36.165+00:00,1.91,"rgb(52, 180, 255)",low,128.007,1
141,aviator,2026-07-24T13:47:51.265+00:00,1.37,"rgb(52, 180, 255)",floor,113.625,1
142,aviator,2026-07-24T13:48:28.711+00:00,9.32,"rgb(145, 62, 248)",high,196.61,1
143,aviator,2026-07-24T13:49:31.351+00:00,69.46,"rgb(192, 23, 180)",mega,283.543,1
144,aviator,2026-07-24T13:50:46.841+00:00,208.75,"rgb(192, 23, 180)",cosmic,331.169,1
145,aviator,2026-07-24T13:51:05.905+00:00,1.67,"rgb(52, 180, 255)",low,122.195,1
146,aviator,2026-07-24T13:51:29.028+00:00,2.0,"rgb(145, 62, 248)",base,130.0,1
147,aviator,2026-07-24T13:51:45.220+00:00,1.47,"rgb(52, 180, 255)",floor,116.674,1
148,aviator,2026-07-24T13:52:06.518+00:00,2.29,"rgb(145, 62, 248)",base,135.86,1
150,aviator,2026-07-24T13:52:22.602+00:00,1.5,"rgb(52, 180, 255)",low,117.549,1
151,aviator,2026-07-24T13:52:44.759+00:00,2.09,"rgb(145, 62, 248)",base,131.905,1
152,aviator,2026-07-24T13:53:22.017+00:00,8.9,"rgb(145, 62, 248)",high,194.614,1
153,aviator,2026-07-24T13:53:35.118+00:00,1.09,"rgb(52, 180, 255)",dust,103.73,1
154,aviator,2026-07-24T13:53:52.260+00:00,1.42,"rgb(52, 180, 255)",floor,115.177,1
155,aviator,2026-07-24T13:54:05.373+00:00,1.05,"rgb(52, 180, 255)",dust,102.112,1
156,aviator,2026-07-24T13:54:43.659+00:00,9.65,"rgb(145, 62, 248)",high,198.116,1
157,aviator,2026-07-24T13:55:14.233+00:00,4.21,"rgb(145, 62, 248)",mid,162.215,1
158,aviator,2026-07-24T13:55:29.468+00:00,1.28,"rgb(52, 180, 255)",floor,110.684,1
159,aviator,2026-07-24T13:56:00.685+00:00,4.77,"rgb(145, 62, 248)",mid,167.62,1
160,aviator,2026-07-24T13:56:14.847+00:00,1.03,"rgb(52, 180, 255)",dust,101.279,1
