id,source,timestamp,multiplier,color,band,points,source_file,ingest_method,created_at
1,aviator,2026-07-24T22:11:00.342+00:00,3.32,purple,mid,151.935,chain:40792adcb420,live-feed,2026-07-24T22:11:00.342+00:00
2,aviator,2026-07-24T22:11:15.256+00:00,17.46,pink,ignition,223.779,chain:72b02a5cd9ad,live-feed,2026-07-24T22:11:15.256+00:00
3,aviator,2026-07-24T22:11:20.788+00:00,1.09,blue,dust,103.73,chain:4a1f87733e43,live-feed,2026-07-24T22:11:20.788+00:00
4,aviator,2026-07-24T22:11:24.704+00:00,1.39,blue,floor,114.253,chain:fe99df973f7b,live-feed,2026-07-24T22:11:24.704+00:00
5,aviator,2026-07-24T22:11:31.674+00:00,15.31,pink,ignition,218.092,chain:7a12788924c0,live-feed,2026-07-24T22:11:31.674+00:00
6,aviator,2026-07-24T22:11:36.513+00:00,1.0,blue,dust,100.0,chain:712fbed251cd,live-feed,2026-07-24T22:11:36.513+00:00
7,aviator,2026-07-24T22:11:42.471+00:00,1.0,blue,dust,100.0,chain:b983c559fa2b,live-feed,2026-07-24T22:11:42.471+00:00
8,aviator,2026-07-24T22:11:50.168+00:00,22.52,pink,moonshot,234.794,chain:2754efaa5c78,live-feed,2026-07-24T22:11:50.168+00:00
9,aviator,2026-07-24T22:11:58.102+00:00,1.06,blue,dust,102.522,chain:ac1d254d47b9,live-feed,2026-07-24T22:11:58.103+00:00
10,aviator,2026-07-24T22:12:05.683+00:00,2.25,purple,base,135.098,chain:138f071b6a53,live-feed,2026-07-24T22:12:05.683+00:00
11,aviator,2026-07-24T22:12:12.230+00:00,1.43,blue,floor,115.48,chain:75f2d337a4b7,live-feed,2026-07-24T22:12:12.230+00:00
12,aviator,2026-07-24T22:12:18.485+00:00,1.0,blue,dust,100.0,chain:7d72837b6ac7,live-feed,2026-07-24T22:12:18.485+00:00
13,aviator,2026-07-24T22:12:24.614+00:00,1.95,blue,low,128.904,chain:6e3c5a21648a,live-feed,2026-07-24T22:12:24.614+00:00
14,aviator,2026-07-24T22:12:28.722+00:00,1.18,blue,dust,107.164,chain:85447fbb427b,live-feed,2026-07-24T22:12:28.722+00:00
15,aviator,2026-07-24T22:12:36.062+00:00,14.27,pink,ignition,215.047,chain:d452039e128d,live-feed,2026-07-24T22:12:36.062+00:00
16,aviator,2026-07-24T22:12:41.229+00:00,1.27,blue,floor,110.345,chain:221ec3ab0220,live-feed,2026-07-24T22:12:41.229+00:00
17,aviator,2026-07-24T22:12:48.000+00:00,1.2,blue,floor,107.891,chain:9257e7ec43f0,live-feed,2026-07-24T22:12:48.000+00:00
18,aviator,2026-07-24T22:12:55.834+00:00,1.21,blue,floor,108.25,chain:75ce7dee9ab7,live-feed,2026-07-24T22:12:55.834+00:00
19,aviator,2026-07-24T22:13:00.892+00:00,1.22,blue,floor,108.606,chain:d764042e634b,live-feed,2026-07-24T22:13:00.892+00:00
20,aviator,2026-07-24T22:13:07.741+00:00,1.31,blue,floor,111.687,chain:4b2e91194ee3,live-feed,2026-07-24T22:13:07.741+00:00
21,aviator,2026-07-24T22:13:11.833+00:00,1.08,blue,dust,103.331,chain:ae8afb832de6,live-feed,2026-07-24T22:13:11.833+00:00
22,aviator,2026-07-24T22:13:16.933+00:00,2.02,purple,base,130.431,chain:2ead51dbd4a5,live-feed,2026-07-24T22:13:16.933+00:00
23,aviator,2026-07-24T22:13:22.949+00:00,1.02,blue,dust,100.857,chain:8fab6c901dda,live-feed,2026-07-24T22:13:22.949+00:00
24,aviator,2026-07-24T22:13:30.225+00:00,35.21,pink,moonshot,254.137,chain:2e84ac5e88fb,live-feed,2026-07-24T22:13:30.225+00:00
25,aviator,2026-07-24T22:13:35.268+00:00,1.3,blue,floor,111.355,chain:deb2f28d7c8e,live-feed,2026-07-24T22:13:35.268+00:00
26,aviator,2026-07-24T22:13:39.648+00:00,1.38,blue,floor,113.94,chain:2784af55d7ac,live-feed,2026-07-24T22:13:39.648+00:00
27,aviator,2026-07-24T22:13:47.172+00:00,2.48,purple,base,139.31,chain:4b1bd0cc4bb2,live-feed,2026-07-24T22:13:47.172+00:00
28,aviator,2026-07-24T22:13:54.143+00:00,1.01,blue,dust,100.431,chain:e7eb1a3ffdc3,live-feed,2026-07-24T22:13:54.143+00:00
29,aviator,2026-07-24T22:13:58.285+00:00,4.44,purple,mid,164.517,chain:8a893cee96ef,live-feed,2026-07-24T22:13:58.285+00:00
30,aviator,2026-07-24T22:14:05.647+00:00,1.13,blue,dust,105.29,chain:0ff7f06fbb14,live-feed,2026-07-24T22:14:05.647+00:00
31,aviator,2026-07-24T22:14:10.096+00:00,3.1,purple,mid,148.968,chain:4594ed420841,live-feed,2026-07-24T22:14:10.096+00:00
32,aviator,2026-07-24T22:14:15.087+00:00,8.7,purple,high,193.63,chain:e7a9408141d8,live-feed,2026-07-24T22:14:15.087+00:00
33,aviator,2026-07-24T22:14:20.894+00:00,4.89,purple,mid,168.695,chain:c66b1ae9b88c,live-feed,2026-07-24T22:14:20.894+00:00
34,aviator,2026-07-24T22:14:27.234+00:00,1.83,blue,low,126.155,chain:d47cc19350c5,live-feed,2026-07-24T22:14:27.234+00:00
35,aviator,2026-07-24T22:14:34.941+00:00,1.4,blue,floor,114.563,chain:c93e175ff597,live-feed,2026-07-24T22:14:34.941+00:00
36,aviator,2026-07-24T22:14:40.642+00:00,55.43,pink,mega,273.778,chain:43c6e173db81,live-feed,2026-07-24T22:14:40.642+00:00
37,aviator,2026-07-24T22:14:48.221+00:00,5.87,purple,high,176.601,chain:78a0cfda1427,live-feed,2026-07-24T22:14:48.221+00:00
38,aviator,2026-07-24T22:14:52.326+00:00,1.7,blue,low,122.966,chain:861bde8dfe27,live-feed,2026-07-24T22:14:52.327+00:00
39,aviator,2026-07-24T22:14:59.209+00:00,2.46,purple,base,138.96,chain:c3d6a3baba7b,live-feed,2026-07-24T22:14:59.209+00:00
40,aviator,2026-07-24T22:15:03.929+00:00,4.51,purple,mid,165.194,chain:13356059db6d,live-feed,2026-07-24T22:15:03.929+00:00
41,aviator,2026-07-24T22:15:11.465+00:00,1.5,blue,low,117.549,chain:813bdca68f4c,live-feed,2026-07-24T22:15:11.465+00:00
42,aviator,2026-07-24T22:15:17.321+00:00,1.59,blue,low,120.071,chain:469482562cc7,live-feed,2026-07-24T22:15:17.321+00:00
43,aviator,2026-07-24T22:15:21.713+00:00,1.14,blue,dust,105.671,chain:6cad535fbf30,live-feed,2026-07-24T22:15:21.713+00:00
44,aviator,2026-07-24T22:15:28.093+00:00,88.35,pink,mega,293.955,chain:c97466ab7fe9,live-feed,2026-07-24T22:15:28.093+00:00
45,aviator,2026-07-24T22:15:32.211+00:00,1.46,blue,floor,116.379,chain:6dcddfe22086,live-feed,2026-07-24T22:15:32.211+00:00
46,aviator,2026-07-24T22:15:36.281+00:00,3.17,purple,mid,149.934,chain:334ca520eb13,live-feed,2026-07-24T22:15:36.281+00:00
47,aviator,2026-07-24T22:15:42.039+00:00,2.03,purple,base,130.644,chain:a8fd94a757df,live-feed,2026-07-24T22:15:42.039+00:00
48,aviator,2026-07-24T22:15:48.225+00:00,3.74,purple,mid,157.091,chain:fd02f0db6c3c,live-feed,2026-07-24T22:15:48.225+00:00
49,aviator,2026-07-24T22:15:55.262+00:00,3.8,purple,mid,157.78,chain:5c4b5c6e2129,live-feed,2026-07-24T22:15:55.262+00:00
50,aviator,2026-07-24T22:16:01.980+00:00,83.1,pink,mega,291.303,chain:a2fb865c7447,live-feed,2026-07-24T22:16:01.980+00:00
51,aviator,2026-07-24T22:16:09.166+00:00,1.65,blue,low,121.674,chain:4bf55e5d4ccb,live-feed,2026-07-24T22:16:09.166+00:00
52,aviator,2026-07-24T22:16:14.886+00:00,1.49,blue,floor,117.259,chain:996cbf6f0c1b,live-feed,2026-07-24T22:16:14.886+00:00
53,aviator,2026-07-24T22:16:21.425+00:00,17.04,pink,ignition,222.726,chain:0c042784ee5b,live-feed,2026-07-24T22:16:21.425+00:00
54,aviator,2026-07-24T22:16:26.865+00:00,8.76,purple,high,193.928,chain:ffd69ccd70aa,live-feed,2026-07-24T22:16:26.865+00:00
55,aviator,2026-07-24T22:16:34.261+00:00,1.22,blue,floor,108.606,chain:0d5679901469,live-feed,2026-07-24T22:16:34.262+00:00
56,aviator,2026-07-24T22:16:42.038+00:00,1.41,blue,floor,114.871,chain:3b962961eeb6,live-feed,2026-07-24T22:16:42.039+00:00
57,aviator,2026-07-24T22:16:49.583+00:00,3.59,purple,mid,155.32,chain:93a19cd256ea,live-feed,2026-07-24T22:16:49.583+00:00
58,aviator,2026-07-24T22:16:55.388+00:00,1.14,blue,dust,105.671,chain:468dda09bafb,live-feed,2026-07-24T22:16:55.388+00:00
59,aviator,2026-07-24T22:16:59.551+00:00,12.45,pink,ignition,209.142,chain:2f15a479c83c,live-feed,2026-07-24T22:16:59.551+00:00
60,aviator,2026-07-24T22:17:04.516+00:00,1.48,blue,floor,116.968,chain:18caa6be66d1,live-feed,2026-07-24T22:17:04.516+00:00
61,aviator,2026-07-24T22:17:11.159+00:00,1.63,blue,low,121.146,chain:380cbc30216f,live-feed,2026-07-24T22:17:11.159+00:00
62,aviator,2026-07-24T22:17:17.150+00:00,1.0,blue,dust,100.0,chain:43e25e27b02b,live-feed,2026-07-24T22:17:17.150+00:00
63,aviator,2026-07-24T22:17:24.781+00:00,1.14,blue,dust,105.671,chain:5218b3fff8f4,live-feed,2026-07-24T22:17:24.782+00:00
64,aviator,2026-07-24T22:17:30.208+00:00,1.0,blue,dust,100.0,chain:7f276fe7ed32,live-feed,2026-07-24T22:17:30.208+00:00
65,aviator,2026-07-24T22:17:36.546+00:00,1.31,blue,floor,111.687,chain:2eae0e43e23f,live-feed,2026-07-24T22:17:36.546+00:00
66,aviator,2026-07-24T22:17:42.746+00:00,1.74,blue,low,123.973,chain:28191af81730,live-feed,2026-07-24T22:17:42.747+00:00
67,aviator,2026-07-24T22:17:50.126+00:00,10.23,pink,ignition,200.642,chain:2d0503196b09,live-feed,2026-07-24T22:17:50.126+00:00
68,aviator,2026-07-24T22:17:55.351+00:00,2.8,purple,base,144.563,chain:0eb9ea2e105a,live-feed,2026-07-24T22:17:55.351+00:00
69,aviator,2026-07-24T22:18:03.217+00:00,1.23,blue,floor,108.96,chain:b16b3eee894a,live-feed,2026-07-24T22:18:03.217+00:00
70,aviator,2026-07-24T22:18:09.703+00:00,1.63,blue,low,121.146,chain:9b90fda43431,live-feed,2026-07-24T22:18:09.703+00:00
71,aviator,2026-07-24T22:18:17.827+00:00,1.19,blue,dust,107.529,chain:9b7cad0d9b62,live-feed,2026-07-24T22:18:17.827+00:00
72,aviator,2026-07-24T22:18:25.012+00:00,1.18,blue,dust,107.164,chain:b1003344d4b5,live-feed,2026-07-24T22:18:25.012+00:00
73,aviator,2026-07-24T22:18:30.674+00:00,26.91,pink,moonshot,242.502,chain:b8647a98cad4,live-feed,2026-07-24T22:18:30.674+00:00
74,aviator,2026-07-24T22:18:37.758+00:00,1.2,blue,floor,107.891,chain:57be300883c9,live-feed,2026-07-24T22:18:37.759+00:00
75,aviator,2026-07-24T22:18:45.962+00:00,1.0,blue,dust,100.0,chain:d17e2a5f9e94,live-feed,2026-07-24T22:18:45.962+00:00
76,aviator,2026-07-24T22:18:50.784+00:00,1.93,blue,low,128.458,chain:b52105269676,live-feed,2026-07-24T22:18:50.784+00:00
77,aviator,2026-07-24T22:18:56.974+00:00,1.57,blue,low,119.523,chain:7598c387e301,live-feed,2026-07-24T22:18:56.974+00:00
78,aviator,2026-07-24T22:19:01.769+00:00,1.9,blue,low,127.78,chain:8b3c8761b5cb,live-feed,2026-07-24T22:19:01.769+00:00
79,aviator,2026-07-24T22:19:07.161+00:00,1.94,blue,low,128.682,chain:5a6d7fe1e183,live-feed,2026-07-24T22:19:07.161+00:00
80,aviator,2026-07-24T22:19:15.126+00:00,3.28,purple,mid,151.411,chain:69d27e52df5c,live-feed,2026-07-24T22:19:15.126+00:00
81,aviator,2026-07-24T22:19:20.630+00:00,1.05,blue,dust,102.112,chain:e9ac43ba50c1,live-feed,2026-07-24T22:19:20.630+00:00
82,aviator,2026-07-24T22:19:27.181+00:00,98.57,pink,mega,298.692,chain:5bbabb173a89,live-feed,2026-07-24T22:19:27.181+00:00
83,aviator,2026-07-24T22:19:32.808+00:00,13.15,pink,ignition,211.51,chain:959c41815405,live-feed,2026-07-24T22:19:32.808+00:00
84,aviator,2026-07-24T22:19:39.829+00:00,2.74,purple,base,143.625,chain:2430fa63a9c7,live-feed,2026-07-24T22:19:39.829+00:00
85,aviator,2026-07-24T22:19:47.298+00:00,1.5,blue,low,117.549,chain:17c16ee1a1e1,live-feed,2026-07-24T22:19:47.298+00:00
86,aviator,2026-07-24T22:19:54.604+00:00,2.41,purple,base,138.071,chain:1922e28a8c00,live-feed,2026-07-24T22:19:54.604+00:00
87,aviator,2026-07-24T22:20:01.876+00:00,1.61,blue,low,120.612,chain:fa91a829f956,live-feed,2026-07-24T22:20:01.876+00:00
88,aviator,2026-07-24T22:20:07.181+00:00,1.07,blue,dust,102.928,chain:56aa4c8d0b32,live-feed,2026-07-24T22:20:07.181+00:00
89,aviator,2026-07-24T22:20:12.456+00:00,1.17,blue,dust,106.795,chain:8b292832b056,live-feed,2026-07-24T22:20:12.456+00:00
90,aviator,2026-07-24T22:20:17.062+00:00,1.23,blue,floor,108.96,chain:47c79338091a,live-feed,2026-07-24T22:20:17.062+00:00
91,aviator,2026-07-24T22:20:22.082+00:00,1.24,blue,floor,109.31,chain:36343056aa82,live-feed,2026-07-24T22:20:22.082+00:00
92,aviator,2026-07-24T22:20:28.742+00:00,4.69,purple,mid,166.888,chain:a72b3dca7770,live-feed,2026-07-24T22:20:28.742+00:00
93,aviator,2026-07-24T22:20:36.662+00:00,1.05,blue,dust,102.112,chain:3299de1b855f,live-feed,2026-07-24T22:20:36.662+00:00
94,aviator,2026-07-24T22:20:41.316+00:00,1.25,blue,floor,109.658,chain:cc5de57c5c61,live-feed,2026-07-24T22:20:41.317+00:00
95,aviator,2026-07-24T22:20:49.354+00:00,1.29,blue,floor,111.021,chain:90ebffba6592,live-feed,2026-07-24T22:20:49.354+00:00
96,aviator,2026-07-24T22:20:54.199+00:00,1.91,blue,low,128.007,chain:09546031a8e4,live-feed,2026-07-24T22:20:54.199+00:00
97,aviator,2026-07-24T22:21:01.950+00:00,1.79,blue,low,125.199,chain:9a7b99905eb4,live-feed,2026-07-24T22:21:01.950+00:00
98,aviator,2026-07-24T22:21:08.970+00:00,1.0,blue,dust,100.0,chain:7ffe0c27f5fa,live-feed,2026-07-24T22:21:08.970+00:00
99,aviator,2026-07-24T22:21:13.777+00:00,1.02,blue,dust,100.857,chain:5ebe90510454,live-feed,2026-07-24T22:21:13.777+00:00
100,aviator,2026-07-24T22:21:18.792+00:00,2.4,purple,base,137.891,chain:6ecacba3ca67,live-feed,2026-07-24T22:21:18.793+00:00
101,aviator,2026-07-24T22:21:23.060+00:00,1.13,blue,dust,105.29,chain:1d4037c76e7f,live-feed,2026-07-24T22:21:23.060+00:00
102,aviator,2026-07-24T22:21:30.673+00:00,6.54,purple,high,181.279,chain:c95a2a9b53a6,live-feed,2026-07-24T22:21:30.673+00:00
103,aviator,2026-07-24T22:21:38.493+00:00,1.35,blue,floor,112.989,chain:6edab8ee5f8b,live-feed,2026-07-24T22:21:38.493+00:00
104,aviator,2026-07-24T22:21:45.213+00:00,1.63,blue,low,121.146,chain:4d07c222a6d3,live-feed,2026-07-24T22:21:45.213+00:00
105,aviator,2026-07-24T22:21:51.261+00:00,3.71,purple,mid,156.743,chain:5badd4762410,live-feed,2026-07-24T22:21:51.261+00:00
106,aviator,2026-07-24T22:21:57.180+00:00,1.14,blue,dust,105.671,chain:590560e1505e,live-feed,2026-07-24T22:21:57.180+00:00
107,aviator,2026-07-24T22:22:01.258+00:00,1.06,blue,dust,102.522,chain:8bee353c5913,live-feed,2026-07-24T22:22:01.258+00:00
108,aviator,2026-07-24T22:22:07.043+00:00,5.29,purple,high,172.098,chain:e48eb8701c2d,live-feed,2026-07-24T22:22:07.043+00:00
109,aviator,2026-07-24T22:22:13.156+00:00,1.15,blue,dust,106.049,chain:0ec83fd0b11d,live-feed,2026-07-24T22:22:13.157+00:00
110,aviator,2026-07-24T22:22:17.730+00:00,2.23,purple,base,134.711,chain:47baadf8cc3c,live-feed,2026-07-24T22:22:17.730+00:00
111,aviator,2026-07-24T22:22:24.205+00:00,1.68,blue,low,122.454,chain:3ea827266daa,live-feed,2026-07-24T22:22:24.205+00:00
112,aviator,2026-07-24T22:22:28.501+00:00,1.48,blue,floor,116.968,chain:cba3a9fb46e0,live-feed,2026-07-24T22:22:28.501+00:00
113,aviator,2026-07-24T22:22:35.033+00:00,3.81,purple,mid,157.894,chain:f55dd4121ba7,live-feed,2026-07-24T22:22:35.033+00:00
114,aviator,2026-07-24T22:22:40.074+00:00,1.91,blue,low,128.007,chain:b7180fd1f242,live-feed,2026-07-24T22:22:40.074+00:00
115,aviator,2026-07-24T22:22:44.574+00:00,3.09,purple,mid,148.828,chain:2446f99c81df,live-feed,2026-07-24T22:22:44.574+00:00
116,aviator,2026-07-24T22:22:52.741+00:00,4.68,purple,mid,166.795,chain:19181d547d23,live-feed,2026-07-24T22:22:52.741+00:00
117,aviator,2026-07-24T22:22:58.833+00:00,1.0,blue,dust,100.0,chain:0f0d3749e15b,live-feed,2026-07-24T22:22:58.833+00:00
118,aviator,2026-07-24T22:23:05.067+00:00,1.27,blue,floor,110.345,chain:7d56ebe6a9bf,live-feed,2026-07-24T22:23:05.067+00:00
119,aviator,2026-07-24T22:23:11.775+00:00,2.43,purple,base,138.429,chain:3bc707b3ee9b,live-feed,2026-07-24T22:23:11.775+00:00
120,aviator,2026-07-24T22:23:19.903+00:00,1.67,blue,low,122.195,chain:96ae5de2a2b5,live-feed,2026-07-24T22:23:19.904+00:00
121,aviator,2026-07-24T22:23:25.146+00:00,1.05,blue,dust,102.112,chain:b0524778df13,live-feed,2026-07-24T22:23:25.146+00:00
122,aviator,2026-07-24T22:23:31.276+00:00,1.94,blue,low,128.682,chain:1d96ae9b0088,live-feed,2026-07-24T22:23:31.276+00:00
123,aviator,2026-07-24T22:23:39.331+00:00,1.03,blue,dust,101.279,chain:e61fa8f94631,live-feed,2026-07-24T22:23:39.331+00:00
124,aviator,2026-07-24T22:24:13.621+00:00,1.13,blue,dust,105.29,chain:1d4037c76e7f,live-feed,2026-07-24T22:24:13.621+00:00
125,aviator,2026-07-24T13:42:05.062+00:00,1.21,"rgb(52, 180, 255)",floor,108.25,momento_rounds_aviator_1784900525062.json,file,2026-07-24T22:24:14.222+00:00
126,aviator,2026-07-24T13:42:24.568+00:00,1.82,"rgb(52, 180, 255)",low,125.918,momento_rounds_aviator_1784900544568.json,file,2026-07-24T22:24:14.750+00:00
127,aviator,2026-07-24T13:43:05.401+00:00,12.64,"rgb(192, 23, 180)",ignition,209.798,momento_rounds_aviator_1784900585401.json,file,2026-07-24T22:24:15.074+00:00
128,aviator,2026-07-24T13:43:22.702+00:00,1.55,"rgb(52, 180, 255)",low,118.968,momento_rounds_aviator_1784900602702.json,file,2026-07-24T22:24:15.306+00:00
129,aviator,2026-07-24T13:43:48.718+00:00,3.68,"rgb(145, 62, 248)",mid,156.391,momento_rounds_aviator_1784900628718.json,file,2026-07-24T22:24:15.587+00:00
