id,source,session_id,timestamp,multiplier,color,raw_html,day_date,hour_interval,created_at
1,aviator,session_10330,2026-07-26T03:53:00.000Z,1903.77,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 03:53 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 1,903.77x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,3,2026-07-27T20:22:18.044+00:00
2,aviator,session_10330,2026-07-26T01:07:00.000Z,995.71,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 01:07 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 995.71x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,1,2026-07-27T20:22:18.044+00:00
3,aviator,session_10330,2026-07-26T03:17:00.000Z,558.81,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 03:17 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 558.81x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,3,2026-07-27T20:22:18.044+00:00
4,aviator,session_10330,2026-07-26T05:08:00.000Z,553.51,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 05:08 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 553.51x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,5,2026-07-27T20:22:18.044+00:00
5,aviator,session_10330,2026-07-26T01:17:00.000Z,484.28,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 01:17 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 484.28x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,1,2026-07-27T20:22:18.044+00:00
6,aviator,session_10330,2026-07-26T05:26:00.000Z,449.69,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 05:26 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 449.69x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,5,2026-07-27T20:22:18.044+00:00
7,aviator,session_10330,2026-07-26T05:10:00.000Z,264.09,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 05:10 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 264.09x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,5,2026-07-27T20:22:18.044+00:00
8,aviator,session_10330,2026-07-26T00:12:00.000Z,123.98,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 00:12 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 123.98x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,0,2026-07-27T20:22:18.044+00:00
9,aviator,session_10330,2026-07-26T06:09:00.000Z,121.85,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 06:09 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 121.85x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,6,2026-07-27T20:22:18.044+00:00
10,aviator,session_10330,2026-07-26T00:23:00.000Z,117.63,"rgb(192, 23, 180)","<app-top-rounds-list-item _ngcontent-bru-c105="""" _nghost-bru-c104="""" class=""ng-star-inserted""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item""><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column date""> 26.07.26 00:23 </div><div _ngcontent-bru-c104="""" appcoloredmultiplier="""" class=""top-rounds-list-item-column x"" style=""color: rgb(192, 23, 180);""> 117.63x </div><div _ngcontent-bru-c104="""" class=""top-rounds-list-item-column""><button _ngcontent-bru-c104="""" aria-label=""Check Fairness"" class=""disabled-on-game-focused btn fairness-btn""><div _ngcontent-bru-c104="""" class=""fairness-i""></div></button></div></div></app-top-rounds-list-item>",2026-07-26,0,2026-07-27T20:22:18.044+00:00
